id	title	year	rated	released	runtime	genre	director	writer	actors	plot	language	country	awards	poster	metascore	imdb_rating	imdb_votes	imdb_id	tomato_meter	tomato_image	tomato_rating	tomato_reviews	tomato_fresh	tomato_rotten	tomato_consensus	tomato_user_meter	tomato_user_rating	tomato_user_reviews	dvd	boxoffice	production	website
1	Twelve Monkeys	1995	R	05 Jan 1996	129 min	Mystery, Sci-Fi, Thriller	Terry Gilliam	Chris Marker (film La Jete), David Webb Peoples (screenplay), Janet Peoples (screenplay)	Joseph Melito, Bruce Willis, Jon Seda, Michael Chance	An unknown and lethal virus has wiped out five billion people in 1996. Only 1% of the population has survived by the year 2035, and is forced to live underground. A convict (James Cole) reluctantly volunteers to be sent back in time to 1996 to gather information about the origin of the epidemic (who he's told was spread by a mysterious 'Army of the Twelve Monkeys') and locate the virus before it mutates so that scientists can study it. Unfortunately Cole is mistakenly sent to 1990, six years earlier than expected, and is arrested and locked up in a mental institution, where he meets Dr. Kathryn Railly, a psychiatrist, and Jeffrey Goines, the insane son of a famous scientist and virus expert.	English, French	USA	Nominated for 2 Oscars. Another 10 wins & 8 nominations.	http://ia.media-imdb.com/images/M/MV5BMjI4MDIxNjk2Ml5BMl5BanBnXkFtZTcwMTA3Njk3OA@@._V1_SX300.jpg	74	8.1	398096	tt0114746	88	certified	7.4	59	52	7	The plot's a bit of a jumble, but excellent performances and mind-blowing plot twists make 12 Monkeys a kooky, effective experience.	88	3.7	388013	31 Mar 1998	N/A	Universal Pictures	N/A
2	1492: Conquest of Paradise	1992	PG-13	09 Oct 1992	154 min	Adventure, Biography, Drama	Ridley Scott	Rose Bosch (scenario)	Grard Depardieu, Armand Assante, Sigourney Weaver, Loren Dean	Big budget account of Christopher Columbus' discovery of the Americas. Released in 1992 to celebrate the 500th anniversary of the discovery. Shows the disastrous effects the Europeans had on the original inhabitants, and Columbus' struggle to civilize the New World.	English	France, Spain	Nominated for 1 Golden Globe. Another 1 nomination.	http://ia.media-imdb.com/images/M/MV5BMTIyNzQ3MzQ4NF5BMl5BanBnXkFtZTcwMDgzMTQyMQ@@._V1_SX300.jpg	N/A	6.5	20493	tt0103594	39	rotten	4	18	7	11	N/A	51	3.1	12153	14 May 2002	N/A	Paramount Home Video	N/A
3	15 Minutes	2001	R	09 Mar 2001	120 min	Action, Crime, Drama	John Herzfeld	John Herzfeld	Robert De Niro, Edward Burns, Kelsey Grammer, Avery Brooks	When Eastern European criminals Oleg and Emil come to New York City to pick up their share of a heist score, Oleg steals a video camera and starts filming their activities, both legal and illegal. When they learn how the American media circus can make a remorseless killer look like the victim and make them rich, they target media-savvy NYPD Homicide Detective Eddie Flemming and media-naive FDNY Fire Marshal Jordy Warsaw, the cops investigating their murder and torching of their former criminal partner, filming everything to sell to the local tabloid TV show 'Top Story.'	English, Czech, Russian, Greek, Afrikaans	USA, Germany	1 nomination.	http://ia.media-imdb.com/images/M/MV5BMTI3MzQ1MzIwNl5BMl5BanBnXkFtZTYwMTAxODc5._V1_SX300.jpg	34	6.1	39736	tt0179626	33	rotten	4.4	123	40	83	As critical as it is about sensationalism in the media, 15 Minutes itself indulges in lurid violence, and its satire is too heavy-handed to be effective.	38	2.9	50433	14 Aug 2001	$24.2M	New Line Cinema	http://www.15minutesmovie.com
4	30 Minutes or Less	2011	R	12 Aug 2011	83 min	Action, Comedy, Crime	Ruben Fleischer	Michael Diliberti (screenplay), Michael Diliberti (story), Matthew Sullivan (story)	Jesse Eisenberg, Danny McBride, Aziz Ansari, Nick Swardson	The not so smart Dwayne intends to open a massage parlor with his partner Travis, but he does not have money for the investment. He decides to hire a hit-man to kill his father, The Major, who won a large amount of money in the lottery years ago, but the killer demands US$ 100,000 for the job. Dwayne and Travis kidnap the pizza delivery boy Nick and they dress Nick in a vest with a timer and several bombs. Then Dwayne tells Nick that he has ten hours to rob US$ 100,000 from a bank. Once he does, he would give Nick the code to release the vest. Nick summons his best friend Chet to help him in the heist but the scheme does not work the way Dwayne has plotted.	English, German, Spanish	Germany, Canada, USA	1 nomination.	http://ia.media-imdb.com/images/M/MV5BMTM5NjM0ODY1NF5BMl5BanBnXkFtZTcwMjk5NjI0Ng@@._V1_SX300.jpg	49	6.2	71193	tt1622547	45	rotten	5.4	157	70	87	It's sporadically funny and it benefits from a talented cast, but 30 Minutes or Less suffers from a disjointed narrative, and too often mistakes crude gags for true lowbrow humor.	41	3.1	46327	29 Nov 2011	$37.1M	Sony Pictures	http://www.30minutesorless.com/
5	44 Inch Chest	2009	R	15 Jan 2010	95 min	Crime, Drama	Malcolm Venville	Louis Mellis, David Scinto	Ray Winstone, Ian McShane, John Hurt, Tom Wilkinson	Colin is in agony, shattered by his wife's infidelity. However, he has friends who do more than stand by -- they kidnap the wife's French lover and hold him prisoner so that Colin can restore his manhood with revenge. A kangaroo court takes place and as the situation escalates Loverboy's life hangs in the balance as Colin wrestles with revenge, remorse, grief and self pity, all the while egged on by his motley crew of friends who just want him to get on with it so they can get down the pub.	English	UK	2 wins & 2 nominations.	http://ia.media-imdb.com/images/M/MV5BMTcyMTQwNzcxNF5BMl5BanBnXkFtZTcwMTI3NzQyMw@@._V1_SX300.jpg	47	5.8	5506	tt0914837	40	rotten	5.2	80	32	48	An actor's movie with a strong cast, 44 Inch Chest can't quite redeem its static plotting and tonal shifts.	36	2.8	13535	20 Apr 2010	N/A	Image Entertainment	http://www.44inchchestfilm.com/
6	48 Hrs.	1982	R	08 Dec 1982	96 min	Action, Comedy, Crime	Walter Hill	Roger Spottiswoode, Walter Hill, Larry Gross, Steven E. de Souza	Nick Nolte, Eddie Murphy, Annette O'Toole, Frank McRae	Oddball cop and tough guy, Jack Cates is the only survivor of a cop shooting and in hunting down the murderer collects Reggie Hammond from jail for 48 hours. Hammond is oddly motivated to help. The killer is searching for his stash of cash. Cates and Hammond who have the Black-white, cop-crook thing to work out make surprisingly good partners as they navigate through the city looking for their suspect.	English	USA	Nominated for 1 Golden Globe. Another 2 wins & 1 nomination.	http://ia.media-imdb.com/images/M/MV5BMTQ5MzM4NTc1OV5BMl5BanBnXkFtZTcwNzE1NjkxMQ@@._V1_SX300.jpg	71	6.9	46960	tt0083511	92	fresh	7.3	38	35	3	Marking an auspicious feature film debut for Eddie Murphy, 48 Hrs. is a briskly paced action comedy that succeeds largely due to the outstanding chemistry between its two leads.	69	3.2	74458	26 Jan 1999	N/A	Paramount Home Video	N/A
7	Zindagi 50 50	2013	N/A	24 May 2013	130 min	Drama	Rajiv S. Ruia	Bunty Rathore (dialogue), Rajiv S. Ruia (story), Rajiv S. Ruia, S. Sachinder (screenplay)	Swati Aggarwal, Arya Babbar, Kurush Deboo, Adi Irani	Zindagi 50 50 has three stories of common people's special dreams. And to fulfill those dreams they have to struggle hard. Sometimes few get it easily, where most of them must struggle very hard with lots of sacrifice, values, principals to achieve their dreams. Among them only few get it after long struggle time where most of them have to loose everything with a failure tag. That is Zindagi (life) 50 - 50.	Hindi	India	N/A	N/A	N/A	2.7	158	tt2929840	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	1	N/A	N/A	N/A	N/A
8	8MM	1999	R	26 Feb 1999	123 min	Crime, Drama, Mystery	Joel Schumacher	Andrew Kevin Walker	Nicolas Cage, Joaquin Phoenix, James Gandolfini, Peter Stormare	Private investigator Tom Welles is hired by the recently widowed Mrs. Christian who has found a startling pornographic film in her late husband's possessions. In the film a teenage girl is apparently killed and Welles is pretty sure it's a genuine snuff film. He takes the case, first going through records of runaways finally identifying the girl and learning that she may have run off to California. There he enters the seedy underworld of pornography with the help of Max California, a porn store clerk. His principal clue is the masked man who killed the girl as he has a unique tattoo on his hand. He soon finds the culprits but there is little satisfaction in resolving the mystery.	English	USA, Germany	2 wins & 1 nomination.	http://ia.media-imdb.com/images/M/MV5BMTIyMjE0MzEzOF5BMl5BanBnXkFtZTYwMTQ4MDg4._V1_SX300.jpg	19	6.5	97334	tt0134273	22	rotten	4.2	78	17	61	Its sadistic violence is unappealing and is lacking in suspense and mystery.	52	3	137462	22 May 2001	N/A	Columbia Pictures	http://www.spe.sony.com/movies/8mm/index.html
9	Go	1999	R	09 Apr 1999	102 min	Comedy, Crime, Thriller	Doug Liman	John August	Katie Holmes, Sarah Polley, Suzanne Krull, Desmond Askew	Told from three perspectives, a story of a bunch of young Californians trying to get some cash, do and deal some drugs, score money and sex in Las Vegas, and generally experience the rush of life.	English	USA	5 wins & 7 nominations.	http://ia.media-imdb.com/images/M/MV5BMjAxODU5NDc3Ml5BMl5BanBnXkFtZTYwMjYzNTg4._V1_SX300.jpg	72	7.3	56660	tt0139239	92	certified	7.6	72	66	6	With its sharp dialogue and raucous visuals, Go entertains at an exhilarating pace.	78	3.3	49723	24 Aug 1999	N/A	Columbia Pictures	http://www.spe.sony.com/movies/go/index.html
10	The Piano, the Ballerina, the Rain	2013	N/A	N/A	9 min	Short, Drama, Music	Samuel Curtis	Samuel Curtis	Brittany Morrill, Andrew Parker Peterson	A Black & White Love Song that exhibits the potential of Digital Cinema.	English	USA	N/A	N/A	N/A	N/A	N/A	tt3432292	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
